,City,Country,Lattitude,Longitude,Date,Temperature,Wind Speed,Cloud cover,Humidity
0,Qaanaaq,GL,77.48,-69.36,1604778163,-12.95,7.56,0,71
1,Punta Arenas,CL,-53.15,-70.92,1604778165,59.0,26.4,40,54
2,Torbay,CA,47.67,-52.73,1604778166,50.0,27.51,75,81
3,Hualmay,PE,-11.1,-77.61,1604777676,66.97,12.26,20,69
4,Hobart,AU,-42.88,147.33,1604777923,43.0,8.05,20,80
5,San Cristobal,VE,7.77,-72.22,1604778092,84.2,13.87,40,74
6,Rikitea,PF,-23.12,-134.97,1604778171,71.33,18.25,53,73
7,Flinders,AU,-34.58,150.86,1604778172,55.0,7.31,65,82
8,Jumla,NP,29.27,82.18,1604778173,40.91,3.4,0,55
9,Yellowknife,CA,62.46,-114.35,1604777736,12.0,5.82,90,85
10,Ushuaia,AR,-54.8,-68.3,1604777986,60.8,18.34,75,41
11,Belaya Gora,RU,68.53,146.42,1604778177,-2.24,3.36,100,92
12,Arkhangelsk,RU,64.54,40.54,1604778178,41.0,15.66,90,93
13,Saskylakh,RU,71.92,114.08,1604778180,-8.91,6.96,5,89
14,Lagoa,PT,39.05,-27.98,1604777896,61.36,20.18,0,72
15,Busselton,AU,-33.65,115.33,1604778182,55.0,2.75,47,66
16,Chui,UY,-33.7,-53.46,1604778184,67.48,11.45,19,73
17,Half Moon Bay,US,37.46,-122.43,1604777812,60.01,13.87,1,66
18,Yuancheng,CN,36.65,107.79,1604778186,39.04,1.39,0,66
19,Zhezkazgan,KZ,47.8,67.71,1604778187,51.17,15.73,85,37
20,Vaini,TO,-21.2,-175.2,1604778140,75.2,5.82,20,83
21,Grand Gaube,MU,-20.01,57.66,1604778190,71.01,3.0,14,75
22,Kapaa,US,22.08,-159.32,1604777912,80.6,10.29,40,83
23,Hong Kong,HK,22.29,114.16,1604777996,78.01,1.99,0,57
24,Carnarvon,AU,-24.87,113.63,1604778194,69.8,14.99,90,77
25,Kaltasy,RU,55.97,54.8,1604778195,34.61,10.96,100,89
26,Hithadhoo,MV,-0.6,73.08,1604778197,83.1,8.66,84,73
27,Albany,US,42.6,-73.97,1604778140,71.01,5.82,75,43
28,Manono,CD,-7.3,27.42,1604778199,73.72,3.83,88,80
29,Khatanga,RU,71.97,102.5,1604777632,-4.45,12.57,9,87
30,Avarua,CK,-21.21,-159.78,1604778155,75.2,7.92,100,78
31,Narsaq,GL,60.92,-46.05,1604777907,30.2,3.36,75,74
32,Jamestown,US,42.1,-79.24,1604778204,69.01,6.93,1,39
33,New Norfolk,AU,-42.78,147.06,1604778206,43.0,2.33,8,73
34,Nueva Helvecia,UY,-34.3,-57.23,1604778207,78.01,7.52,19,48
35,Bondo,CD,3.81,23.69,1604778208,70.97,0.81,100,96
36,Al Bardīyah,LY,31.76,25.09,1604778209,69.19,20.13,100,74
37,Kruisfontein,ZA,-34.0,24.73,1604778211,63.0,1.01,0,76
38,Yulara,AU,-25.24,130.99,1604777807,73.4,8.05,49,13
39,Severo-Kuril'sk,RU,50.68,156.12,1604778083,34.47,2.46,0,83
40,Ahipara,NZ,-35.17,173.17,1604778214,63.25,11.92,47,80
41,Vila Franca do Campo,PT,37.72,-25.43,1604778199,60.8,10.29,20,63
42,Bethel,US,41.37,-73.41,1604777935,73.4,4.7,1,35
43,Norman Wells,CA,65.28,-126.83,1604778158,23.0,4.94,75,92
44,Sitka,US,57.05,-135.33,1604778160,35.6,3.36,20,80
45,Atuona,PF,-9.8,-139.03,1604778199,77.79,14.54,94,71
46,Eyrarbakki,IS,63.86,-21.15,1604778222,41.0,19.46,75,80
47,Miastko,PL,54.0,16.98,1604778223,43.0,6.8,0,95
48,‘Āhuimanu,US,21.44,-157.84,1604778224,80.6,11.41,90,80
49,Tasiilaq,GL,65.61,-37.64,1604778226,28.4,6.93,75,86
50,Ponta do Sol,PT,32.67,-17.1,1604778028,66.2,3.36,20,72
51,Kloulklubed,PW,7.04,134.26,1604778229,77.0,5.82,90,94
52,Taraz,KZ,42.9,71.37,1604778231,55.4,6.71,75,11
53,Magnitka,RU,55.35,59.7,1604778232,34.43,3.71,100,92
54,Tommot,RU,58.96,126.29,1604778115,0.09,7.67,100,90
55,Mount Isa,AU,-20.73,139.5,1604778148,77.0,12.75,27,12
56,Penzance,GB,50.12,-5.54,1604778235,55.4,13.87,100,100
57,Cape Town,ZA,-33.93,18.42,1604778121,64.0,13.87,75,82
58,Mataura,NZ,-46.19,168.86,1604778193,48.99,10.0,94,60
59,Broome,US,42.25,-75.83,1604778239,70.0,8.05,1,42
60,Pisco,PE,-13.7,-76.22,1604777949,66.2,6.93,90,77
61,Saldanha,ZA,-33.01,17.94,1604778242,62.6,12.75,0,82
62,Yaan,NG,7.38,8.57,1604778243,79.18,1.79,92,36
63,Bom Jesus,BR,-9.07,-44.36,1604778244,83.97,5.37,8,66
64,Bredasdorp,ZA,-34.53,20.04,1604777931,60.8,9.17,0,72
65,Hermanus,ZA,-34.42,19.23,1604778247,60.01,13.0,0,82
66,Port Elizabeth,ZA,-33.92,25.57,1604778145,62.6,5.82,0,93
67,Christchurch,NZ,-43.53,172.63,1604778101,48.0,26.4,100,93
68,Birao,CF,10.28,22.79,1604778250,78.39,3.94,100,32
69,Teófilo Otoni,BR,-17.86,-41.51,1604778252,79.18,3.38,20,76
70,Butaritari,KI,3.07,172.79,1604778253,80.87,10.74,100,73
71,Dingcheng,CN,32.13,115.04,1604778254,54.1,3.29,0,42
72,Mayo,US,38.89,-76.51,1604778255,71.01,8.05,1,72
73,Cidreira,BR,-30.18,-50.21,1604778257,69.93,14.52,3,77
74,Robertsport,LR,6.75,-11.37,1604778258,80.91,8.25,13,83
75,Saint Paul Harbor,US,57.79,-152.41,1604778260,42.8,3.36,90,81
76,Barrow,US,71.29,-156.79,1604778150,30.2,23.04,90,92
77,Tuktoyaktuk,CA,69.45,-133.04,1604777937,26.6,20.8,75,79
78,São João da Barra,BR,-21.64,-41.05,1604778092,77.0,9.17,75,65
79,Bluff,NZ,-46.6,168.33,1604778264,48.99,10.0,3,60
80,Northam,GB,51.03,-4.22,1604778266,55.99,1.01,100,93
81,Bambous Virieux,MU,-20.34,57.76,1604777979,73.4,8.05,20,78
82,Ribeira Grande,PT,38.52,-28.7,1604778268,60.8,9.17,20,72
83,Bengkulu,ID,-3.8,102.27,1604777929,76.14,4.12,100,86
84,Bataiporã,BR,-22.3,-53.27,1604778271,95.63,0.96,0,22
85,Uglovskoye,RU,51.36,80.19,1604778272,42.91,17.67,30,59
86,Batagay,RU,67.63,134.63,1604778273,-26.68,1.45,43,84
87,Arrondissement de Bastia,FR,42.67,9.33,1604778274,60.01,4.7,0,93
88,Port Alfred,ZA,-33.59,26.89,1604778276,68.54,2.95,0,89
89,San Quintín,MX,30.48,-115.95,1604778277,65.97,16.78,0,49
90,Elk City,US,35.41,-99.4,1604778278,71.6,17.22,1,53
91,Hilo,US,19.73,-155.09,1604778182,78.8,5.82,90,78
92,Salalah,OM,17.02,54.09,1604777627,77.0,2.24,0,61
93,Wajid,SO,3.81,43.25,1604778283,76.1,9.66,76,79
94,Calafell,ES,41.2,1.57,1604778284,61.0,2.59,26,100
95,Sørland,NO,67.67,12.69,1604778285,35.6,14.99,75,71
96,Laas,IT,46.62,10.7,1604778286,46.99,1.95,5,80
97,George Town,MY,5.41,100.34,1604778288,78.8,3.36,40,88
98,Arraial do Cabo,BR,-22.97,-42.03,1604777554,75.2,9.17,75,69
99,Berlevåg,NO,70.86,29.09,1604778290,38.82,26.93,84,75
100,Cuamba,MZ,-14.8,36.54,1604778292,79.56,3.24,0,29
101,Karratha,AU,-20.74,116.85,1604778220,70.61,10.74,0,64
102,Cockburn Town,TC,21.46,-71.14,1604777866,78.8,11.41,90,78
103,Bloemfontein,ZA,-29.12,26.21,1604778295,73.4,6.93,0,35
104,Belmonte,BR,-15.86,-38.88,1604778296,78.8,9.17,40,83
105,Airai,TL,-8.93,125.41,1604778202,62.67,2.15,93,57
106,Rajshahi,BD,24.37,88.6,1604778299,67.53,5.91,0,74
107,Bubaque,GW,11.28,-15.83,1604778300,85.19,13.69,1,75
108,Nuuk,GL,64.18,-51.72,1604778123,23.0,4.7,90,92
109,Along,IN,28.17,94.77,1604778303,56.35,2.13,0,54
110,Castro,BR,-24.79,-50.01,1604777555,77.79,4.65,0,42
111,Duluth,US,46.78,-92.11,1604778027,57.2,6.93,90,87
112,Geraldton,AU,-28.77,114.6,1604778306,68.0,8.05,90,77
113,Semnan,IR,35.57,53.4,1604778309,55.35,2.71,79,39
114,Clarence Town,AU,-32.58,151.78,1604778310,57.99,4.7,34,67
115,El Alto,PE,-4.27,-81.21,1604778312,77.0,13.87,0,61
116,Hamilton,US,39.18,-84.53,1604778313,73.99,5.82,1,35
117,Sherlovaya Gora,RU,50.57,116.25,1604778315,6.4,5.41,0,92
118,Longyearbyen,SJ,78.22,15.64,1604778189,28.4,4.16,20,86
119,Mar del Plata,AR,-38.0,-57.56,1604778300,66.2,5.82,40,88
120,Tura,IN,25.52,90.22,1604778068,64.99,4.54,0,88
121,Adré,TD,13.47,22.2,1604778320,73.72,5.59,13,26
122,Vila,PT,42.03,-8.16,1604778048,55.0,5.01,97,94
123,Lebu,CL,-37.62,-73.65,1604778191,56.68,22.19,0,61
124,Miyazu,JP,35.53,135.18,1604778324,54.86,2.39,17,85
125,Saint George,US,37.1,-113.58,1604777947,57.99,20.8,75,30
126,Pevek,RU,69.7,170.31,1604778326,16.81,2.68,100,96
127,Sīwah,EG,29.2,25.52,1604778328,69.17,10.0,55,53
128,Maryville,US,35.76,-83.97,1604778329,75.0,6.93,40,43
129,Wanning,CN,18.8,110.4,1604778082,72.1,8.66,0,80
130,Ixtapa,MX,20.7,-105.2,1604778074,86.0,9.17,5,55
131,Faya,SA,18.39,42.45,1604778333,62.6,2.19,0,77
132,Wilmington Island,US,32.0,-80.97,1604778093,78.8,13.87,75,69
133,Esperance,AU,-33.87,121.9,1604778171,55.4,6.93,6,100
134,Termez,UZ,37.22,67.28,1604778337,55.4,4.7,17,32
135,Anjozorobe,MG,-18.4,47.87,1604778338,64.4,9.17,20,82
136,Mahébourg,MU,-20.41,57.7,1604778339,73.4,8.05,20,78
137,Kahului,US,20.89,-156.47,1604777995,84.2,16.11,40,58
138,Alofi,NU,-19.06,-169.92,1604777565,77.0,14.99,75,73
139,Marsá Maţrūḩ,EG,31.35,27.25,1604778343,68.0,4.7,94,72
140,Te Anau,NZ,-45.42,167.72,1604778158,41.9,6.64,92,84
141,Puerto Ayora,EC,-0.74,-90.35,1604778346,77.0,19.46,40,69
142,Stromness,GB,58.97,-3.3,1604778347,42.8,4.7,8,87
143,Tocache,PE,-8.18,-76.51,1604778349,92.43,5.14,55,36
144,Ardakān,IR,32.31,54.02,1604778350,64.4,2.24,20,13
145,Barra dos Coqueiros,BR,-10.91,-37.04,1604778351,82.4,12.75,40,78
146,Abnūb,EG,27.27,31.15,1604778353,66.2,4.7,0,63
147,Parnamirim,BR,-5.92,-35.26,1604778354,84.2,20.8,40,70
148,Avera,US,33.19,-82.53,1604778213,80.6,12.75,75,54
149,Buala,SB,-8.14,159.59,1604778114,80.96,3.22,5,75
150,Beloha,MG,-25.17,45.05,1604777999,71.73,2.37,0,72
151,Dikson,RU,73.51,80.55,1604778194,-2.6,11.83,33,89
152,Vanavara,RU,60.34,102.28,1604778361,13.03,3.8,100,96
153,Hasaki,JP,35.73,140.83,1604778204,57.2,2.24,75,100
154,Tarko-Sale,RU,64.92,77.78,1604778363,32.0,3.47,100,94
155,Itupiranga,BR,-5.13,-49.33,1604778365,91.4,5.82,40,55
156,Vestmanna,FO,62.16,-7.17,1604778366,39.2,1.12,78,86
157,Nikolskoye,RU,59.7,30.79,1604778367,48.2,11.18,90,81
158,Tres Arroyos,AR,-38.37,-60.28,1604778369,75.76,13.0,1,34
159,Faanui,PF,-16.48,-151.75,1604778370,78.93,12.53,77,79
160,Kaitangata,NZ,-46.28,169.85,1604778158,50.0,5.99,100,61
161,Dwārka,IN,22.24,68.97,1604778372,80.56,10.16,0,52
162,Fare,PF,-16.7,-151.02,1604778374,79.83,11.3,50,75
163,Qingdao,CN,36.1,120.37,1604778326,51.01,2.24,0,81
164,Pitimbu,BR,-7.47,-34.81,1604778068,82.4,18.34,40,74
165,Jishou,CN,28.32,109.72,1604778378,55.63,2.37,0,70
166,Codrington,AU,-38.27,141.97,1604778379,41.68,6.06,6,92
167,Chizhou,CN,30.66,117.48,1604778380,54.84,2.53,0,52
168,Port Hawkesbury,CA,45.62,-61.35,1604778382,50.0,6.93,1,61
169,St. George's,GD,12.06,-61.75,1604778383,84.2,20.8,40,79
170,Bamiantong,CN,44.93,130.53,1604778384,28.9,18.9,100,94
171,Dauphin,CA,51.15,-100.05,1604778386,28.4,9.33,90,90
172,Vallenar,CL,-28.57,-70.76,1604778387,80.74,9.35,0,25
173,Barcelos,PT,41.54,-8.62,1604778282,60.8,19.46,75,87
174,Pacific Grove,US,36.62,-121.92,1604777967,57.0,6.93,40,62
175,Fonte Boa,BR,-2.5,-66.27,1604778391,83.75,4.43,100,83
176,Moose Factory,CA,51.26,-80.61,1604778274,32.0,14.99,40,93
177,Stonewall,CA,50.13,-97.33,1604778394,39.2,14.99,75,64
178,Tiksi,RU,71.69,128.87,1604778181,-8.07,1.97,0,91
179,Ilhabela,BR,-23.78,-45.36,1604778372,71.74,4.72,32,67
180,Tuatapere,NZ,-46.13,167.68,1604778298,48.99,10.0,47,60
181,Digha,IN,21.68,87.55,1604778285,67.48,8.23,0,58
182,Newport,GB,51.59,-3.0,1604778400,53.01,1.01,28,93
183,Motygino,RU,58.18,94.76,1604778401,35.85,6.58,100,98
184,Alyangula,AU,-13.85,136.42,1604778402,71.6,1.12,99,94
185,Ossora,RU,59.24,163.07,1604778404,27.54,5.77,98,89
186,Departamento de Maldonado,UY,-34.67,-54.92,1604778405,73.4,10.29,20,64
187,Neuquén,AR,-38.95,-68.06,1604778349,86.0,11.41,0,30
188,Viedma,AR,-40.81,-63.0,1604778407,75.0,1.99,52,41
189,Srednekolymsk,RU,67.45,153.68,1604778409,-4.85,8.57,97,91
190,Chokurdakh,RU,70.63,147.92,1604778410,2.52,6.13,100,95
191,Rodolfo Sánchez Taboada,MX,31.72,-116.57,1604778412,64.99,5.01,60,68
192,Ljubuški,BA,43.2,17.55,1604778413,48.2,1.12,0,76
193,Cedar City,US,37.68,-113.06,1604778174,48.2,25.28,75,61
194,Iqaluit,CA,63.75,-68.51,1604778415,10.4,9.17,90,72
195,Timrå,SE,62.49,17.33,1604778416,43.0,5.82,56,75
196,Tiznit Province,MA,29.58,-9.5,1604778418,63.64,1.9,0,69
197,Mackay,AU,-21.15,149.2,1604778419,77.0,18.34,90,83
198,Waipawa,NZ,-41.41,175.52,1604777853,53.6,24.16,99,100
199,Gandai,IN,21.67,81.1,1604778422,63.41,3.98,0,44
200,Ruska Poliana,UA,49.42,31.92,1604778423,44.71,6.02,37,94
201,Canyon,US,34.98,-101.92,1604778424,73.99,4.0,0,38
202,High Level,CA,58.52,-117.14,1604778426,14.0,13.87,75,72
203,Marsh Harbour,BS,26.54,-77.06,1604778427,79.36,26.82,100,75
204,Dukat,RU,62.55,155.55,1604777905,-5.62,3.67,97,90
205,Bettendorf,US,41.52,-90.52,1604778429,73.0,17.22,1,43
206,Anuchino,RU,43.96,133.05,1604778431,32.14,3.18,42,88
207,Campo de Criptana,ES,39.4,-3.12,1604778432,46.0,1.01,2,92
208,Omsukchan,RU,62.53,155.8,1604778233,-1.77,4.63,100,89
209,Cerritos,US,33.86,-118.06,1604778413,62.01,12.75,75,62
210,Pangody,RU,65.85,74.49,1604778436,32.16,4.5,100,99
211,Coquimbo,CL,-29.95,-71.34,1604777860,62.6,12.75,0,67
212,Nhulunbuy,AU,-12.23,136.77,1604778438,78.8,8.32,82,83
213,Saint Paul,US,44.94,-93.09,1604778208,73.0,16.11,1,53
214,Aklavik,CA,68.22,-135.01,1604778016,26.6,15.73,75,63
215,Arlit,NE,18.74,7.39,1604778442,77.83,15.86,0,22
216,Zadar,HR,44.12,15.24,1604778443,44.6,3.44,0,93
217,Guerrero Negro,MX,27.98,-114.06,1604778164,71.76,19.39,30,60
218,Orahovac,XK,42.4,20.65,1604778446,44.6,1.12,0,70
219,Tabou,CI,4.42,-7.35,1604778447,79.03,5.48,85,85
220,Talnakh,RU,69.49,88.4,1604778448,17.6,15.66,75,85
221,Port Hedland,AU,-20.32,118.57,1604778449,75.2,9.17,0,88
222,Ust'-Kut,RU,56.79,105.77,1604778451,18.16,5.08,100,94
223,Batemans Bay,AU,-35.72,150.18,1604778220,50.0,4.41,0,86
224,Porto Velho,BR,-8.76,-63.9,1604778168,91.4,6.93,40,52
225,Kangaatsiaq,GL,68.31,-53.46,1604778454,16.02,7.56,54,83
226,Caledon,ZA,-34.23,19.43,1604778305,60.01,13.0,4,82
227,Kumul,CN,42.8,93.45,1604778457,35.71,3.29,73,72
228,Palāsa,IN,18.77,84.42,1604778458,70.23,4.25,0,68
229,George,ZA,-33.96,22.46,1604778459,60.8,6.93,0,77
230,Dingle,PH,11.0,122.67,1604778229,73.44,2.46,99,92
231,Trelew,AR,-43.25,-65.31,1604778462,73.13,24.27,97,28
232,Lompoc,US,34.64,-120.46,1604778197,57.2,11.41,75,71
233,Zabid,YE,14.2,43.32,1604778464,80.44,5.59,10,61
234,Inta,RU,66.03,60.17,1604778466,29.84,10.98,100,98
235,Usinsk,RU,65.99,57.53,1604778211,30.0,11.61,100,99
236,Asău,RO,46.43,26.4,1604778145,41.0,2.75,0,100
237,Upernavik,GL,72.79,-56.15,1604778469,-1.55,7.99,0,76
238,Turukhansk,RU,65.82,87.98,1604778204,18.1,18.88,100,97
239,Guánica,PR,17.97,-66.91,1604778471,84.99,3.0,100,63
240,Abhā,SA,18.22,42.51,1604778473,62.6,2.3,0,77
241,Kodār,IN,16.98,79.97,1604778474,72.5,4.36,29,86
242,Hūn,LY,29.13,15.95,1604778475,60.55,7.87,1,78
243,Harper,LR,4.38,-7.72,1604777882,79.72,5.5,97,84
244,Busko-Zdrój,PL,50.47,20.72,1604778478,46.0,2.62,0,1
245,Thompson,CA,55.74,-97.86,1604778479,19.4,3.4,90,85
246,Jalu,LY,29.03,21.55,1604778480,65.3,13.62,0,63
247,Ketchikan,US,55.34,-131.65,1604778482,37.4,17.22,1,74
248,Ilulissat,GL,69.22,-51.1,1604778212,8.6,5.82,20,71
249,Lingyuan,CN,41.24,119.4,1604778484,27.91,6.02,0,62
250,Kashgar,CN,39.45,75.98,1604778485,42.8,11.18,44,30
251,Gualeguay,AR,-33.14,-59.31,1604778487,79.14,9.82,62,52
252,Adrar,MR,20.5,-10.07,1604778015,87.01,10.38,97,17
253,Marawi,PH,8.0,124.29,1604778489,73.99,4.0,100,93
254,Doha,QA,25.29,51.53,1604778490,84.0,3.36,0,65
255,Russell,US,32.35,-85.2,1604778491,71.6,9.64,90,88
256,Dinguiraye,GN,11.3,-10.72,1604778493,79.63,0.65,0,35
257,Gebre Guracha,ET,9.8,38.4,1604778494,57.45,3.8,94,64
258,Cabrobó,BR,-8.51,-39.31,1604778495,91.29,22.77,48,37
259,Kamaishi,JP,39.27,141.88,1604778497,55.76,5.66,27,79
260,Baykit,RU,61.67,96.37,1604778293,19.89,2.82,100,95
261,Aleksandrov Gay,RU,50.15,48.57,1604778499,40.82,13.96,97,74
262,Princeton,US,25.54,-80.41,1604778500,82.4,17.22,75,78
263,Piaçabuçu,BR,-10.41,-36.43,1604778501,79.39,14.07,25,81
264,Itarema,BR,-2.92,-39.92,1604778070,82.49,18.34,76,68
265,Muros,ES,42.78,-9.06,1604778504,60.01,20.0,24,90
266,Grøa,NO,62.65,8.72,1604778505,42.8,11.41,100,81
267,Xucheng,CN,20.35,110.13,1604778507,68.0,2.24,0,100
268,Nome,US,64.5,-165.41,1604777818,37.4,12.75,40,86
